,OpenPrice,HighPrice,LowPrice,ClosePrice
0,218.5,218.7,214.3,214.85
1,214.9,220.8,212.45,217.8
2,213.95,216.9,212.3,214.05
3,208.9,216.2,208.4,213.15
4,211.45,211.5,207.9,208.5
5,213.0,216.7,210.0,211.35
6,219.65,220.45,211.55,212.35
7,200.0,222.0,196.0,218.35
8,203.9,203.9,199.35,201.0
9,206.0,206.85,202.05,202.95
10,202.9,207.8,201.35,205.0
11,196.0,204.05,196.0,199.65
12,200.0,200.0,190.3,194.55
13,208.0,208.0,203.05,204.25
14,213.0,213.0,207.0,207.8
15,213.9,213.9,210.0,211.1
16,214.7,214.7,211.65,212.95
17,218.25,218.25,213.1,214.65
18,213.0,219.25,212.1,216.45
19,213.5,215.0,211.25,212.8
20,213.0,215.8,210.5,213.5
21,207.0,214.4,204.1,212.4
22,206.9,206.9,202.0,202.5
23,205.0,207.8,203.5,204.35
24,205.7,206.0,203.4,205.35
25,204.65,208.9,203.05,204.5
26,199.95,207.0,199.95,202.85
27,205.35,206.75,192.15,199.4
28,215.0,215.25,206.95,208.05
29,217.7,218.4,215.15,216.7
30,219.35,223.0,215.8,216.6
31,211.0,219.4,206.85,217.3
32,225.0,225.0,211.7,213.85
33,230.4,231.95,222.2,225.4
34,227.0,231.4,226.95,228.85
35,227.4,229.0,223.25,224.8
36,224.9,227.8,222.45,225.6
37,221.75,225.75,217.8,220.7
38,221.2,224.25,218.4,219.7
39,218.0,227.25,217.0,220.55
40,216.05,221.5,215.55,218.75
41,217.55,218.7,214.0,216.05
42,214.5,216.5,213.0,215.85
43,214.15,214.15,211.5,212.8
44,213.5,215.35,211.1,213.55
45,209.2,215.85,207.15,211.8
46,210.0,212.0,203.8,207.9
47,213.0,214.7,208.55,209.95
48,216.4,220.25,213.3,214.4
49,212.0,218.0,210.55,214.4
50,218.9,222.05,207.7,212.3
51,227.0,228.3,214.5,218.8
52,229.8,231.2,223.05,225.3
53,237.0,242.0,224.0,227.05
54,241.0,254.4,230.25,235.8
55,232.9,238.0,231.25,234.15
56,236.0,237.8,227.8,230.45
57,230.25,242.25,229.6,233.9
58,217.3,229.6,216.5,227.85
59,219.5,220.4,215.3,216.85
60,221.0,223.5,218.0,218.9
61,215.4,220.0,215.0,218.35
62,206.0,218.9,204.1,212.95
63,205.5,207.7,204.5,205.4
64,206.0,209.7,204.65,205.55
65,203.0,204.05,200.7,201.4
66,204.0,206.35,203.0,203.55
67,200.55,207.3,200.2,203.2
68,204.45,204.5,201.0,202.2
69,205.0,206.5,201.5,203.5
70,209.5,209.5,202.75,203.4
71,207.75,208.7,205.75,206.55
72,205.9,208.45,204.55,205.8
73,202.0,204.75,197.3,202.65
74,207.9,209.35,201.1,202.2
75,213.5,213.6,205.5,208.4
76,209.75,214.9,207.95,212.35
77,208.2,211.9,207.85,208.75
78,210.0,210.35,207.5,208.2
79,207.15,211.0,207.15,208.25
80,211.0,211.7,208.2,210.75
81,213.0,214.2,210.05,211.9
82,211.35,217.0,209.6,212.45
83,207.6,209.5,203.2,204.1
84,210.0,211.25,206.4,207.6
85,211.9,213.75,208.7,209.5
86,214.0,214.25,207.9,211.1
87,201.2,216.25,201.2,213.15
88,196.8,200.8,196.0,198.95
89,195.45,196.85,192.65,194.95
90,198.9,201.2,194.45,195.95
91,197.5,203.4,194.15,198.95
92,182.0,199.8,179.75,196.6
93,190.85,192.65,178.6,181.7
94,197.0,197.85,186.3,189.2
95,200.5,201.7,197.8,199.95
96,202.0,202.2,197.5,200.5
97,206.0,206.0,200.8,201.95
98,204.35,207.9,202.55,206.1
99,197.8,205.6,195.25,203.65
100,203.95,204.6,192.05,196.5
101,208.3,211.35,194.05,202.9
102,211.9,213.7,206.3,207.9
103,209.25,214.5,209.0,212.2
104,213.0,213.0,207.65,209.1
105,207.1,216.95,207.1,213.05
106,212.45,213.55,205.0,206.75
107,214.05,215.5,210.2,211.7
108,211.5,218.3,210.2,212.5
109,211.7,219.75,206.15,211.5
110,238.9,246.7,208.3,215.1
111,219.5,241.7,218.1,235.3
112,209.0,218.3,208.5,215.5
113,206.45,210.5,201.5,208.35
114,192.0,202.0,190.65,199.0
115,189.7,190.25,182.25,184.4
116,190.4,191.4,187.5,189.1
117,193.25,194.2,189.5,190.25
118,192.5,194.25,191.0,192.15
119,190.05,195.35,189.5,192.2
120,188.6,193.95,186.2,192.2
121,191.5,191.85,185.85,186.6
122,190.45,192.5,187.7,189.9
123,193.0,194.3,187.5,190.45
124,187.8,193.95,185.4,192.85
125,193.8,194.8,187.35,188.8
126,187.85,198.35,187.85,192.45
127,183.05,187.5,182.15,186.4
128,188.6,189.0,183.0,184.55
129,187.7,190.6,186.5,187.65
130,185.1,189.0,184.55,185.75
131,180.95,185.4,178.5,183.35
132,173.05,178.95,172.2,177.8
133,175.75,175.75,172.05,172.9
134,177.3,177.3,173.1,174.2
135,175.2,178.7,175.2,175.95
136,170.05,175.95,168.65,174.05
137,179.0,180.2,168.0,175.15
138,179.6,183.2,177.5,178.45
139,182.25,185.95,178.35,181.35
140,184.15,186.5,180.8,181.8
141,188.5,188.5,177.55,184.65
142,187.2,193.4,186.3,188.6
143,179.5,190.0,179.1,186.95
144,179.0,184.7,176.25,178.75
145,176.25,178.9,174.1,177.45
146,176.4,176.65,173.0,174.35
147,177.9,177.9,173.75,174.35
148,176.9,178.7,175.6,176.7
149,173.55,175.65,172.05,174.0
150,180.0,181.35,172.65,174.25
